match_id,match_number,home_team,away_team,city,stage,home_team_elo,away_team_elo,elo_diff,home_gd_last5,away_gd_last5,gd_last5_diff,home_xg_diff,away_xg_diff,xg_diff_diff,home_form_pts,away_form_pts,form_diff,home_climate,away_climate,venue_tier,home_alt_origin,away_alt_origin,home_f8_pen,away_f8_pen,f8_score,home_tactic_primary,away_tactic_primary,f10_raw_score,home_tactic_secondary,away_tactic_secondary,f10_score,home_strength,market_home,market_draw,market_away,edge_home,edge_draw,edge_away,best_edge,best_value,signal,review_flag,raw_score,home_win_prob,draw_prob,away_win_prob,pick
1,1,Mexico,South Africa,Mexico City,Group Stage,81,66.1,14.9,1,0,1,0.88,0.87,0.01,13,9,4,"2,200.00","1,753.00",altitude,high_press_hybrid,mid_block_compact,0.00,0.00,0.00,mid_block_compact,direct_attacking,2.00,YES,NO,1.50,0.95,0.6796116505,0.2038834951,0.1165048544,2.50%,5.14%,-7.65%,5.14%,Draw,WATCH,,2.87,70.46%,25.53%,4.01%,Mexico
2,2,South Korea,Czechia,Guadalajara,Group Stage,76.4,73,3.4,3,0,3,1.17,0.73,0.44,9,6,3,9.00,381.00,high,high_press_hybrid,mid_block_compact,-3.00,0.00,3.00,vertical_tiki_taka,direct_attacking,0.00,NO,NO,0.00,0.98,0.362745098,0.3039215686,0.3333333333,33.53%,-1.41%,-32.11%,33.53%,South Korea,STRONG PLAY,CHECK INPUTS,4.05,69.80%,28.98%,1.22%,South Korea
3,3,Canada,Bosnia and Herzegovina,Toronto,Group Stage,74.7,62.9,11.8,1,0,1,0.58,0.52,0.06,9,7,2,30.00,535.00,mild,mid_block_compact,mid_block_compact,0.00,0.00,0.00,direct_attacking,low_block_counter,-2.00,YES,NO,-1.50,0.39,0.5392156863,0.2549019608,0.2058823529,-25.48%,0.97%,24.51%,24.51%,Bosnia and Herzegovina,STRONG PLAY,CHECK INPUTS,-0.46,28.44%,26.46%,45.10%,Bosnia and Herzegovina
4,4,USA,Paraguay,Los Angeles,Group Stage,78.1,75.3,2.8,0,0.5,-0.5,0.46,-0.02,0.48,10,8,2,5.00,124.00,mild,high_press_hybrid,mid_block_compact,0.00,0.00,0.00,direct_attacking,direct_attacking,0.00,YES,NO,0.00,0.60,0.4854368932,0.2815533981,0.2330097087,-5.78%,1.00%,4.77%,4.77%,Paraguay,WATCH,,0.42,42.77%,29.16%,28.07%,USA
5,5,Qatar,Switzerland,San Francisco Bay Area,Group Stage,62,83.8,-21.8,-1.5,1.5,-3,-0.44,0.7,-1.14,5,11,-6,5.00,557.00,mild,low_block_counter,mid_block_compact,0.00,0.00,0.00,mid_block_compact,high_press_hybrid,-1.00,NO,NO,-0.75,0.03,0.07843137255,0.137254902,0.7843137255,-5.34%,9.73%,-4.39%,9.73%,Draw,PLAY,,-3.39,2.50%,23.46%,74.04%,Switzerland
6,6,Brazil,Morocco,New York/New Jersey,Group Stage,92.2,85.3,6.9,-1,1.5,-2.5,0.33,1.23,-0.9,7,13,-6,762.00,204.00,moderate,positional_play,mid_block_compact,0.00,0.00,0.00,wing_play_heavy,low_block_counter,0.00,NO,NO,0.00,0.32,0.5825242718,0.2427184466,0.1747572816,-35.22%,3.66%,31.57%,31.57%,Morocco,STRONG PLAY,CHECK INPUTS,-0.76,23.03%,27.93%,49.04%,Morocco
7,7,Haiti,Scotland,Boston,Group Stage,57.1,73,-15.9,1.5,0.5,1,0.23,-0.34,0.57,10,12,-2,29.00,40.00,moderate,low_block_counter,high_press_hybrid,0.00,0.00,0.00,,direct_attacking,0.00,NO,NO,0.00,0.32,0.145631068,0.213592233,0.640776699,9.19%,3.87%,-13.06%,9.19%,Haiti,PLAY,,-0.76,23.75%,25.23%,51.02%,Scotland
8,8,Australia,Turkey,Vancouver,Group Stage,78.2,81.8,-3.6,2.5,1,1.5,-0.18,0.11,-0.29,15,13,2,9.00,70.00,mild,high_press_hybrid,mid_block_compact,0.00,0.00,0.00,mid_block_compact,direct_attacking,2.00,NO,NO,1.50,0.83,0.1881188119,0.2574257426,0.5544554455,40.00%,3.18%,-43.18%,40.00%,Australia,STRONG PLAY,CHECK INPUTS,1.57,58.81%,28.92%,12.27%,Australia
9,9,Germany,Curaçao,Houston,Group Stage,89.6,49.5,40.1,4,-3,7,1.29,0.37,0.92,15,5,10,116.00,2.00,extreme,gegenpressing,low_block_counter,-2.00,-6.00,-4.00,positional_play,mid_block_compact,1.00,NO,NO,0.75,0.79,0.9134615385,0.04807692308,0.03846153846,-26.52%,13.19%,13.33%,13.33%,Curaçao,STRONG PLAY,,1.33,64.82%,18.00%,17.18%,Germany
10,10,Netherlands,Japan,Dallas,Group Stage,89.6,84.3,5.3,2,2.5,-0.5,1.32,1.02,0.3,13,13,0,13.00,11.00,mild,positional_play,gegenpressing,0.00,0.00,0.00,high_press_hybrid,mid_block_compact,1.00,NO,NO,0.75,0.75,0.4803921569,0.2549019608,0.2647058824,5.65%,2.92%,-8.56%,5.65%,Netherlands,WATCH,,1.10,53.68%,28.41%,17.91%,Netherlands
11,11,Côte d'Ivoire,Ecuador,Philadelphia,Group Stage,72.6,85.1,-12.5,1,0.5,0.5,0.99,0.18,0.81,10,7,3,117.00,"2,782.00",moderate,direct_attacking,high_press_hybrid,0.00,0.00,0.00,mid_block_compact,mid_block_compact,0.00,NO,NO,0.00,0.46,0.2647058824,0.3333333333,0.4019607843,7.62%,-7.08%,-0.53%,7.62%,Côte d'Ivoire,WATCH,,-0.15,34.09%,26.25%,39.66%,Ecuador
12,12,Sweden,Tunisia,Monterrey,Group Stage,71.3,70.6,0.7,1.5,0,1.5,-0.23,0.76,-0.99,7,8,-1,14.00,67.00,extreme,direct_attacking,mid_block_compact,-6.00,-2.00,4.00,mid_block_compact,low_block_counter,0.00,NO,NO,0.00,0.98,0.504950495,0.2772277228,0.2178217822,18.24%,2.07%,-20.31%,18.24%,Sweden,STRONG PLAY,CHECK INPUTS,3.84,68.73%,29.79%,1.48%,Sweden
13,13,Spain,Cabo Verde,Atlanta,Group Stage,100,64,36,2,-1,3,2.03,0.55,1.48,13,6,7,667.00,10.00,high,positional_play,low_block_counter,0.00,-3.00,-3.00,vertical_tiki_taka,direct_attacking,0.00,NO,NO,0.00,0.67,0.8921568627,0.06862745098,0.03921568627,-35.44%,12.34%,23.10%,23.10%,Cabo Verde,STRONG PLAY,CHECK INPUTS,0.69,53.77%,19.20%,27.03%,Spain
14,14,Belgium,Egypt,Seattle,Group Stage,86.5,72.2,14.3,3.5,-0.5,4,1.87,0.91,0.96,11,8,3,57.00,23.00,mild,direct_attacking,low_block_counter,0.00,0.00,0.00,high_press_hybrid,mid_block_compact,1.00,NO,NO,0.75,0.94,0.5784313725,0.2450980392,0.1764705882,12.12%,1.20%,-13.32%,12.12%,Belgium,STRONG PLAY,,2.78,69.97%,25.71%,4.32%,Belgium
15,15,Saudi Arabia,Uruguay,Miami,Group Stage,64,84.8,-20.8,0,1.5,-1.5,0.46,-0.22,0.68,9,8,1,620.00,43.00,extreme,low_block_counter,direct_attacking,-2.00,-2.00,0.00,mid_block_compact,mid_block_compact,0.00,NO,NO,0.00,0.24,0.1359223301,0.213592233,0.6504854369,4.67%,2.40%,-7.07%,4.67%,Saudi Arabia,WATCH,,-1.16,18.27%,23.76%,57.97%,Uruguay
16,16,IR Iran,New Zealand,Los Angeles,Group Stage,79,63.6,15.4,0,0.5,-0.5,0.78,0,0.78,6,3,3,"1,270.00",3.00,mild,low_block_counter,mid_block_compact,0.00,0.00,0.00,mid_block_compact,direct_attacking,2.00,NO,NO,1.50,0.95,0.5050505051,0.2828282828,0.2121212121,20.08%,-2.90%,-17.18%,20.08%,IR Iran,STRONG PLAY,CHECK INPUTS,2.86,70.59%,25.38%,4.03%,IR Iran
17,17,France,Senegal,New York/New Jersey,Group Stage,98.6,81.7,16.9,3,-1,4,2.06,0.72,1.34,13,12,1,34.00,10.00,moderate,high_press_hybrid,direct_attacking,0.00,0.00,0.00,positional_play,mid_block_compact,1.00,NO,NO,0.75,0.95,0.6732673267,0.2079207921,0.1188118812,3.88%,4.14%,-8.01%,4.14%,Draw,WATCH,,2.91,71.20%,24.93%,3.87%,France
18,18,Iraq,Norway,Boston,Group Stage,66.9,80.1,-13.2,0,3,-3,-0.2,1.34,-1.54,9,15,-6,34.00,26.00,moderate,mid_block_compact,direct_attacking,0.00,0.00,0.00,mid_block_compact,high_press_hybrid,-1.00,NO,NO,-0.75,0.05,0.06862745098,0.137254902,0.7941176471,-3.39%,12.31%,-8.92%,12.31%,Draw,STRONG PLAY,,-3.01,3.47%,26.04%,70.49%,Norway
19,19,Argentina,Algeria,Kansas City,Group Stage,98.5,75.4,23.1,1,-0.5,1.5,0.53,0.52,0.01,10,12,-2,25.00,727.00,moderate,positional_play,mid_block_compact,0.00,0.00,0.00,high_press_hybrid,low_block_counter,-2.00,NO,NO,-1.50,0.49,0.702970297,0.2079207921,0.08910891089,-32.71%,2.28%,30.43%,30.43%,Algeria,STRONG PLAY,CHECK INPUTS,-0.05,37.59%,23.07%,39.34%,Algeria
