match_id,match,city,stage,model_home,model_draw,model_away,market_home,market_draw,market_away,edge_home,edge_draw,edge_away,best_value,best_edge,signal,review_flag,draw_play_filter,model_pick,ou_line,total_exp_goals,model_over,model_under,market_over,market_under,edge_over,edge_under,ou_best_edge,ou_best_value,ou_signal,ou_review_flag
1,Mexico vs South Africa,Mexico City,Group Stage,59.35%,25.53%,15.12%,67.96%,20.39%,11.65%,-8.61%,5.14%,3.47%,Draw,5.14%,WATCH,,,Mexico,2.5,2.165,36.79%,63.21%,44.55%,55.45%,-7.77%,7.77%,7.77%,Under 2.5,PLAY,
2,South Korea vs Czechia,Guadalajara,Group Stage,52.58%,28.98%,18.44%,36.27%,30.39%,33.33%,16.31%,-1.41%,-14.90%,South Korea,16.31%,REVIEW,CHECK INPUTS,,South Korea,2.5,2.76,52.10%,47.90%,42.57%,57.43%,9.52%,-9.52%,9.52%,Over 2.5,PLAY,
3,Canada vs Bosnia and Herzegovina,Toronto,Group Stage,54.32%,26.46%,19.22%,53.92%,25.49%,20.59%,0.40%,0.97%,-1.37%,Draw,0.97%,PASS,,,Canada,2.5,2.45,44.33%,55.67%,43.56%,56.44%,0.77%,-0.77%,0.77%,Over 2.5,PASS,
4,USA vs Paraguay,Los Angeles,Group Stage,42.77%,29.16%,28.07%,48.54%,28.16%,23.30%,-5.78%,1.00%,4.77%,Paraguay,4.77%,WATCH,,,USA,2.5,2.33,41.19%,58.81%,40.59%,59.41%,0.60%,-0.60%,0.60%,Over 2.5,PASS,
5,Qatar vs Switzerland,San Francisco Bay Area,Group Stage,5.11%,23.46%,71.43%,7.84%,13.73%,78.43%,-2.73%,9.73%,-7.00%,Draw,9.73%,REVIEW,,BLOCK DRAW,Switzerland,2.5,2.38,42.51%,57.49%,58.42%,41.58%,-15.91%,15.91%,15.91%,Under 2.5,REVIEW,CHECK INPUTS
6,Brazil vs Morocco,New York/New Jersey,Group Stage,23.03%,27.93%,49.04%,58.25%,24.27%,17.48%,-35.22%,3.66%,31.57%,Morocco,31.57%,REVIEW,CHECK INPUTS,,Morocco,2.5,2.32,40.93%,59.07%,46.53%,53.47%,-5.61%,5.61%,5.61%,Under 2.5,WATCH,
7,Haiti vs Scotland,Boston,Group Stage,23.75%,25.23%,51.02%,14.56%,21.36%,64.08%,9.19%,3.87%,-13.06%,Haiti,9.19%,PLAY,,,Scotland,2.5,2.705,50.76%,49.24%,51.49%,48.51%,-0.73%,0.73%,0.73%,Under 2.5,PASS,
8,Australia vs Turkey,Vancouver,Group Stage,36.74%,28.92%,34.34%,18.81%,25.74%,55.45%,17.93%,3.18%,-21.10%,Australia,17.93%,REVIEW,CHECK INPUTS,,Australia,2.5,2.505,45.75%,54.25%,46.53%,53.47%,-0.79%,0.79%,0.79%,Under 2.5,PASS,
9,Germany vs Curaçao,Houston,Group Stage,81.17%,18.00%,0.83%,91.35%,4.81%,3.85%,-10.18%,13.19%,-3.01%,Draw,13.19%,REVIEW,,BLOCK DRAW,Germany,4.5,2.84,15.86%,84.14%,44.55%,55.45%,-28.69%,28.69%,28.69%,Under 4.5,REVIEW,CHECK INPUTS
10,Netherlands vs Japan,Dallas,Group Stage,41.96%,28.41%,29.63%,48.04%,25.49%,26.47%,-6.08%,2.92%,3.16%,Japan,3.16%,WATCH,,,Netherlands,2.5,2.52,46.13%,53.87%,49.50%,50.50%,-3.37%,3.37%,3.37%,Under 2.5,WATCH,
