match_id,home_team,away_team,home_xg_for,away_xg_for,home_xg_against,away_xg_against,home_exp_goals,away_exp_goals,total_exp_goals,match_ou_line,under_prob,over_prob,market_over,market_under,edge_over,edge_under,ou_best_edge,ou_best_value,ou_signal,ou_review_flag
1,Mexico,South Africa,1.61,1.43,0.73,0.56,1.085,1.08,2.165,2.5,63.21%,36.79%,44.55%,55.45%,-7.77%,7.77%,7.77%,Under 2.5,PLAY,
2,South Korea,Czechia,1.82,1.89,0.65,1.16,1.49,1.27,2.76,2.5,47.90%,52.10%,42.57%,57.43%,9.52%,-9.52%,9.52%,Over 2.5,PLAY,
3,Canada,Bosnia and Herzegovina,1.28,1.72,0.7,1.2,1.24,1.21,2.45,2.5,55.67%,44.33%,43.56%,56.44%,0.77%,-0.77%,0.77%,Over 2.5,PASS,
4,USA,Paraguay,1.51,1.04,1.05,1.06,1.285,1.045,2.33,2.5,58.81%,41.19%,40.59%,59.41%,0.60%,-0.60%,0.60%,Over 2.5,PASS,
5,Qatar,Switzerland,1.05,1.46,1.49,0.76,0.905,1.475,2.38,2.5,57.49%,42.51%,58.42%,41.58%,-15.91%,15.91%,15.91%,Under 2.5,REVIEW,CHECK INPUTS
6,Brazil,Morocco,1.27,1.83,0.94,0.6,0.935,1.385,2.32,2.5,59.07%,40.93%,46.53%,53.47%,-5.61%,5.61%,5.61%,Under 2.5,WATCH,
7,Haiti,Scotland,1.33,1.32,1.1,1.66,1.495,1.21,2.705,2.5,49.24%,50.76%,51.49%,48.51%,-0.73%,0.73%,0.73%,Under 2.5,PASS,
8,Australia,Turkey,0.96,1.51,1.14,1.4,1.18,1.325,2.505,2.5,54.25%,45.75%,46.53%,53.47%,-0.79%,0.79%,0.79%,Under 2.5,PASS,
9,Germany,Curaçao,2.01,1.66,0.72,1.29,1.65,1.19,2.84,4.5,84.14%,15.86%,44.55%,55.45%,-28.69%,28.69%,28.69%,Under 4.5,REVIEW,CHECK INPUTS
10,Netherlands,Japan,2.07,1.62,0.75,0.6,1.335,1.185,2.52,2.5,53.87%,46.13%,49.50%,50.50%,-3.37%,3.37%,3.37%,Under 2.5,WATCH,
11,Côte d'Ivoire,Ecuador,1.51,1.16,0.52,0.98,1.245,0.84,2.085,1.5,38.35%,61.65%,60.40%,39.60%,1.26%,-1.26%,1.26%,Over 1.5,PASS,
12,Sweden,Tunisia,1.18,1.7,1.41,0.94,1.06,1.555,2.615,2.5,51.47%,48.53%,41.58%,58.42%,6.95%,-6.95%,6.95%,Over 2.5,PLAY,
13,Spain,Cabo Verde,2.74,1.26,0.71,0.71,1.725,0.985,2.71,3.5,71.19%,28.81%,49.50%,50.50%,-20.69%,20.69%,20.69%,Under 3.5,REVIEW,CHECK INPUTS
14,Belgium,Egypt,2.57,1.44,0.7,0.53,1.55,1.07,2.62,2.5,51.34%,48.66%,47.52%,52.48%,1.13%,-1.13%,1.13%,Over 2.5,PASS,
15,Saudi Arabia,Uruguay,1.52,1.06,1.06,1.28,1.4,1.06,2.46,2.5,55.41%,44.59%,47.52%,52.48%,-2.94%,2.94%,2.94%,Under 2.5,PASS,
16,IR Iran,New Zealand,1.89,,1.11,,,,,2.5,,,39.60%,60.40%,-39.60%,-60.40%,-39.60%,Over 2.5,PASS,
17,France,Senegal,2.54,1.52,0.48,0.8,1.67,1,2.67,2.5,50.10%,49.90%,49.50%,50.50%,0.39%,-0.39%,0.39%,Over 2.5,PASS,
18,Iraq,Norway,1.1,2.21,1.3,0.87,0.985,1.755,2.74,2.5,48.39%,51.61%,59.41%,40.59%,-7.79%,7.79%,7.79%,Under 2.5,PLAY,
19,Argentina,Algeria,1.3,1.23,0.77,0.71,1.005,1,2.005,2.5,67.53%,32.47%,49.50%,50.50%,-17.04%,17.04%,17.04%,Under 2.5,REVIEW,CHECK INPUTS
20,Austria,Jordan,1.76,1.2,0.93,1.22,1.49,1.065,2.555,2.5,52.98%,47.02%,58.42%,41.58%,-11.39%,11.39%,11.39%,Under 2.5,STRONG PLAY,
21,Portugal,DR Congo,2.84,1.25,0.89,0.86,1.85,1.07,2.92,2.5,44.14%,55.86%,57.43%,42.57%,-1.56%,1.56%,1.56%,Under 2.5,PASS,
22,England,Croatia,2.38,2.56,0.43,0.78,1.58,1.495,3.075,2.5,40.66%,59.34%,44.12%,55.88%,15.22%,-15.22%,15.22%,Over 2.5,REVIEW,CHECK INPUTS
23,Ghana,Panama,1.4,1.79,0.68,1.06,1.23,1.235,2.465,2.5,55.28%,44.72%,42.31%,57.69%,2.41%,-2.41%,2.41%,Over 2.5,PASS,
24,Uzbekistan,Colombia,1.78,1.55,1.09,1.13,1.455,1.32,2.775,2.5,47.54%,52.46%,48.54%,51.46%,3.91%,-3.91%,3.91%,Over 2.5,WATCH,
25,Czechia,South Africa,1.89,1.43,1.16,0.56,1.225,1.295,2.52,2.5,53.87%,46.13%,40.20%,59.80%,5.93%,-5.93%,5.93%,Over 2.5,WATCH,
26,Switzerland,Bosnia and Herzegovina,1.46,1.72,0.76,1.2,1.33,1.24,2.57,2.5,52.60%,47.40%,45.54%,54.46%,1.86%,-1.86%,1.86%,Over 2.5,PASS,
27,Canada,Qatar,1.28,1.05,0.7,1.49,1.385,0.875,2.26,2.5,60.67%,39.33%,48.57%,51.43%,-9.24%,9.24%,9.24%,Under 2.5,PLAY,
28,Mexico,South Korea,1.61,1.82,0.73,0.65,1.13,1.275,2.405,2.5,56.84%,43.16%,40.38%,59.62%,2.78%,-2.78%,2.78%,Over 2.5,PASS,
29,USA,Australia,1.51,0.96,1.05,1.14,1.325,1.005,2.33,2.5,58.81%,41.19%,47.12%,52.88%,-5.93%,5.93%,5.93%,Under 2.5,WATCH,
30,Scotland,Morocco,1.32,1.83,1.66,0.6,0.96,1.745,2.705,2.5,49.24%,50.76%,42.31%,57.69%,8.45%,-8.45%,8.45%,Over 2.5,PLAY,
31,Brazil,Haiti,1.27,1.33,0.94,1.1,1.185,1.135,2.32,3.5,79.53%,20.47%,51.82%,48.18%,-31.35%,31.35%,31.35%,Under 3.5,REVIEW,CHECK INPUTS
32,Turkey,Paraguay,1.51,1.04,1.4,1.06,1.285,1.22,2.505,2.5,54.25%,45.75%,40.20%,59.80%,5.55%,-5.55%,5.55%,Over 2.5,WATCH,
33,Netherlands,Sweden,2.07,1.18,0.75,1.41,1.74,0.965,2.705,2.5,49.24%,50.76%,50.00%,50.00%,0.76%,-0.76%,0.76%,Over 2.5,PASS,
34,Germany,Côte d'Ivoire,2.01,1.51,0.72,0.52,1.265,1.115,2.38,2.5,57.49%,42.51%,52.94%,47.06%,-10.44%,10.44%,10.44%,Under 2.5,STRONG PLAY,
35,Ecuador,South Africa,1.16,1.43,0.98,0.56,0.86,1.205,2.065,2.5,65.91%,34.09%,56.73%,43.27%,-22.64%,22.64%,22.64%,Under 2.5,REVIEW,CHECK INPUTS
36,Tunisia,Japan,1.7,1.62,0.94,0.6,1.15,1.28,2.43,2.5,56.19%,43.81%,,,,,0.00%,Under 2.5,PASS,
37,Spain,Saudi Arabia,2.74,1.52,0.71,1.06,1.9,1.115,3.015,2.5,41.98%,58.02%,,,,,0.00%,Under 2.5,PASS,
38,Belgium,IR Iran,2.57,1.89,0.7,1.11,1.84,1.295,3.135,2.5,39.36%,60.64%,,,,,0.00%,Under 2.5,PASS,
39,Uruguay,Cabo Verde,1.06,1.26,1.28,0.71,0.885,1.27,2.155,2.5,63.48%,36.52%,,,,,0.00%,Under 2.5,PASS,
40,New Zealand,Egypt,,1.44,,0.53,,,,2.5,,,,,,,0.00%,Under 2.5,PASS,
41,Argentina,Austria,1.3,1.76,0.77,0.93,1.115,1.265,2.38,2.5,57.49%,42.51%,,,,,0.00%,Under 2.5,PASS,
42,France,Iraq,2.54,1.1,0.48,1.3,1.92,0.79,2.71,2.5,49.12%,50.88%,,,,,0.00%,Under 2.5,PASS,
43,Norway,Senegal,2.21,1.52,0.87,0.8,1.505,1.195,2.7,2.5,49.36%,50.64%,,,,,0.00%,Under 2.5,PASS,
44,Jordan,Algeria,1.2,1.23,1.22,0.71,0.955,1.225,2.18,2.5,62.81%,37.19%,,,,,0.00%,Under 2.5,PASS,
45,Portugal,Uzbekistan,2.84,1.78,0.89,1.09,1.965,1.335,3.3,2.5,35.94%,64.06%,,,,,0.00%,Under 2.5,PASS,
46,England,Ghana,2.38,1.4,0.43,0.68,1.53,0.915,2.445,2.5,55.80%,44.20%,,,,,0.00%,Under 2.5,PASS,
47,Panama,Croatia,1.79,2.56,1.06,0.78,1.285,1.81,3.095,2.5,40.22%,59.78%,,,,,0.00%,Under 2.5,PASS,
48,Colombia,DR Congo,1.55,1.25,1.13,0.86,1.205,1.19,2.395,2.5,57.10%,42.90%,,,,,0.00%,Under 2.5,PASS,
49,Switzerland,Canada,1.46,1.28,0.76,0.7,1.08,1.02,2.1,2.5,64.96%,35.04%,,,,,0.00%,Under 2.5,PASS,
50,Bosnia and Herzegovina,Qatar,1.72,1.05,1.2,1.49,1.605,1.125,2.73,2.5,48.63%,51.37%,,,,,0.00%,Under 2.5,PASS,
51,Scotland,Brazil,1.32,1.27,1.66,0.94,1.13,1.465,2.595,2.5,51.97%,48.03%,,,,,0.00%,Under 2.5,PASS,
52,Morocco,Haiti,1.83,1.33,0.6,1.1,1.465,0.965,2.43,2.5,56.19%,43.81%,,,,,0.00%,Under 2.5,PASS,
53,Czechia,Mexico,1.89,1.61,1.16,0.73,1.31,1.385,2.695,2.5,49.49%,50.51%,,,,,0.00%,Under 2.5,PASS,
54,South Africa,South Korea,1.43,1.82,0.56,0.65,1.04,1.19,2.23,2.5,61.47%,38.53%,,,,,0.00%,Under 2.5,PASS,
55,Curaçao,Côte d'Ivoire,1.66,1.51,1.29,0.52,1.09,1.4,2.49,2.5,54.64%,45.36%,,,,,0.00%,Under 2.5,PASS,
56,Ecuador,Germany,1.16,2.01,0.98,0.72,0.94,1.495,2.435,2.5,56.06%,43.94%,,,,,0.00%,Under 2.5,PASS,
57,Japan,Sweden,1.62,1.18,0.6,1.41,1.515,0.89,2.405,2.5,56.84%,43.16%,,,,,0.00%,Under 2.5,PASS,
58,Tunisia,Netherlands,1.7,2.07,0.94,0.75,1.225,1.505,2.73,2.5,48.63%,51.37%,,,,,0.00%,Under 2.5,PASS,
59,Turkey,USA,1.51,1.51,1.4,1.05,1.28,1.455,2.735,2.5,48.51%,51.49%,,,,,0.00%,Under 2.5,PASS,
60,Paraguay,Australia,1.04,0.96,1.06,1.14,1.09,1.01,2.1,2.5,64.96%,35.04%,,,,,0.00%,Under 2.5,PASS,
61,Norway,France,2.21,2.54,0.87,0.48,1.345,1.705,3.05,2.5,41.21%,58.79%,,,,,0.00%,Under 2.5,PASS,
62,Senegal,Iraq,1.52,1.1,0.8,1.3,1.41,0.95,2.36,2.5,58.02%,41.98%,,,,,0.00%,Under 2.5,PASS,
63,Cabo Verde,Saudi Arabia,1.26,1.52,0.71,1.06,1.16,1.115,2.275,2.5,60.27%,39.73%,,,,,0.00%,Under 2.5,PASS,
64,Uruguay,Spain,1.06,2.74,1.28,0.71,0.885,2.01,2.895,2.5,44.71%,55.29%,,,,,0.00%,Under 2.5,PASS,
65,Egypt,IR Iran,1.44,1.89,0.53,1.11,1.275,1.21,2.485,2.5,54.77%,45.23%,,,,,0.00%,Under 2.5,PASS,
66,New Zealand,Belgium,,2.57,,0.7,,,,2.5,,,,,,,0.00%,Under 2.5,PASS,
67,Panama,England,1.79,2.38,1.06,0.43,1.11,1.72,2.83,2.5,46.23%,53.77%,,,,,0.00%,Under 2.5,PASS,
68,Croatia,Ghana,2.56,1.4,0.78,0.68,1.62,1.09,2.71,2.5,49.12%,50.88%,,,,,0.00%,Under 2.5,PASS,
69,Colombia,Portugal,1.55,2.84,1.13,0.89,1.22,1.985,3.205,2.5,37.89%,62.11%,,,,,0.00%,Under 2.5,PASS,
70,DR Congo,Uzbekistan,1.25,1.78,0.86,1.09,1.17,1.32,2.49,2.5,54.64%,45.36%,,,,,0.00%,Under 2.5,PASS,
71,Algeria,Austria,1.23,1.76,0.71,0.93,1.08,1.235,2.315,2.5,59.21%,40.79%,,,,,0.00%,Under 2.5,PASS,
72,Jordan,Argentina,1.2,1.3,1.22,0.77,0.985,1.26,2.245,2.5,61.07%,38.93%,,,,,0.00%,Under 2.5,PASS,
73,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
74,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
75,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
76,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
77,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
78,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
79,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
80,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
81,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
82,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
83,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
84,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
85,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
86,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
87,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
88,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
89,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
90,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
91,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
92,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
93,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
94,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
95,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
96,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
97,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
98,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
99,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
100,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
101,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
102,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
103,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
104,#N/A,#N/A,,,,,,,,,,,,,,,0.00%,Under ,PASS,
