match_id,round,home_team,away_team,elo_diff,gd_blend_diff,xg_blend_diff,form_blend_diff,xgot_for_diff,score_home,score_draw,score_away,P_home_raw,P_draw_raw,P_away_raw,P_draw_adj,excess,P_home_adj,P_away_adj,model_home,model_draw,model_away,market_home_prob,market_draw_prob,market_away_prob,edge_home,edge_draw,edge_away,model_home_adv,model_away_adv,market_home_toadv,market_away_toadv,edge_home_adv,edge_away_adv,model_90_pick,model_adv_pick,upset_alert,best_value,best_edge,signal,90_min_result,advanced,model_90_hit,model_adv_hit
73,RO32,South Africa,Canada,-10.67,-1.65,-1.01,-0.77,-2.20,-1.17,0.12,1.05,0.3114272945,1.126737275,2.850596536,26.27%,73.73%,9.85%,90.15%,18.74%,33.95%,47.30%,16.67%,26.47%,56.86%,2.07%,9.36%,-9.56%,33.30%,66.70%,25.74%,74.26%,7.56%,-7.56%,Canada,Canada,,South Africa,7.56%,PLAY,Canada,Canada,YES,YES
74,RO32,Brazil,Japan,8.15,-0.79,-0.18,0.81,1.06,0.80,0.72,-1.52,2.229300249,2.049251847,0.2189343527,45.56%,54.44%,91.06%,8.94%,43.83%,34.85%,21.31%,56.86%,25.49%,17.65%,-13.03%,11.94%,3.66%,63.22%,36.78%,73.27%,26.73%,-10.05%,10.05%,Brazil,Brazil,WATCH,Japan,10.05%,STRONG PLAY,Brazil,Brazil,YES,YES
75,RO32,Germany,Paraguay,17.34,2.96,1.57,1.32,2.54,3.06,0.65,-3.71,21.24043178,1.924261339,0.02446175181,8.30%,91.70%,99.88%,0.12%,58.63%,29.76%,11.62%,73.27%,17.82%,8.91%,-14.64%,11.94%,2.71%,76.48%,23.52%,85.15%,14.85%,-8.67%,8.67%,Germany,Germany,,Paraguay,8.67%,PLAY,Draw,Paraguay,NO,NO
76,RO32,Netherlands,Morocco,3.75,0.83,0.48,0.41,1.17,1.16,0.40,-1.56,3.174847895,1.498562509,0.2101889175,30.69%,69.31%,93.79%,6.21%,37.22%,36.00%,26.78%,42.16%,31.37%,26.47%,-4.94%,4.63%,0.31%,56.16%,43.84%,60.40%,39.60%,-4.24%,4.24%,Draw,Netherlands,UPSET LIVE,Morocco,4.24%,WATCH,Draw,Morocco,YES,NO
77,RO32,Côte d'Ivoire,Norway,-8.56,-0.48,-0.74,-0.21,-0.61,-0.04,-0.05,0.09,0.9575992696,0.9524674401,1.096555142,31.68%,68.32%,46.62%,53.38%,22.26%,35.12%,42.62%,26.47%,27.45%,46.08%,-4.21%,7.67%,-3.46%,38.03%,61.97%,36.00%,64.00%,2.03%,-2.03%,Norway,Norway,WATCH,Côte d'Ivoire,2.03%,PASS,Norway,Norway,YES,YES
78,RO32,France,Sweden,28.38,2.26,1.12,1.36,0.78,2.77,1.12,-3.89,15.90648021,3.077782329,0.02042365003,16.19%,83.81%,99.87%,0.13%,83.20%,14.78%,2.02%,76.47%,15.69%,7.84%,6.73%,-0.91%,-5.82%,92.07%,7.93%,88.00%,12.00%,4.07%,-4.07%,France,France,,France,4.07%,WATCH,France,France,YES,YES
79,RO32,Mexico,Ecuador,-0.23,1.48,-0.14,1.15,0.20,2.27,-0.15,-2.12,9.653905451,0.8587969048,0.1206107059,8.08%,91.92%,98.77%,1.23%,44.64%,34.66%,20.70%,43.14%,33.33%,23.53%,1.50%,1.33%,-2.83%,64.04%,35.96%,63.37%,36.63%,0.67%,-0.67%,Mexico,Mexico,WATCH,Mexico,0.67%,PASS,Mexico,Mexico,YES,YES
80,RO32,England,DR Congo,23.29,1.35,0.94,0.92,0.76,1.89,1.13,-3.02,6.60547887,3.087493763,0.04903141232,31.69%,68.31%,99.26%,0.74%,69.65%,25.38%,4.97%,75.49%,17.65%,6.86%,-5.84%,7.73%,-1.89%,84.88%,15.12%,88.00%,12.00%,-3.12%,3.12%,England,England,,DR Congo,3.12%,WATCH,England,England,YES,YES
81,RO32,Belgium,Senegal,7.62,2.01,0.70,0.33,-0.29,1.64,0.36,-2.00,5.134577345,1.434518451,0.135751729,21.40%,78.60%,97.42%,2.58%,35.45%,36.17%,28.38%,45.10%,29.41%,25.49%,-9.65%,6.76%,2.89%,54.18%,45.82%,60.00%,40.00%,-5.82%,5.82%,Draw,Belgium,UPSET LIVE,Senegal,5.82%,WATCH,Draw,Belgium,YES,YES
82,RO32,USA,Bosnia and Herzegovina,17.61,1.08,0.51,0.90,1.33,1.77,0.85,-2.61,5.847148154,2.33162636,0.0733488529,28.25%,71.75%,98.76%,1.24%,63.48%,27.42%,9.11%,70.59%,18.63%,10.78%,-7.11%,8.79%,-1.67%,79.93%,20.07%,83.17%,16.83%,-3.24%,3.24%,USA,USA,,Bosnia and Herzegovina,3.24%,WATCH,USA,USA,YES,YES
83,RO32,Spain,Austria,21.81,1.43,0.73,0.95,0.85,1.97,0.99,-2.96,7.194601575,2.689487663,0.0516779022,27.07%,72.93%,99.29%,0.71%,71.13%,23.10%,5.77%,72.55%,18.63%,8.82%,-1.42%,4.47%,-3.05%,84.99%,15.01%,87.13%,12.87%,-2.14%,2.14%,Spain,Spain,,Austria,2.14%,PASS,Spain,Spain,YES,YES
84,RO32,Portugal,Croatia,6.09,1.61,0.36,0.00,0.62,1.12,0.33,-1.46,3.07566029,1.396773897,0.2327604053,29.69%,70.31%,92.96%,7.04%,33.37%,36.29%,30.34%,57.28%,26.21%,16.50%,-23.91%,10.08%,13.84%,51.79%,48.21%,70.30%,29.70%,-18.51%,18.51%,Draw,Portugal,UPSET LIVE,Croatia,18.51%,REVIEW,Portugal,Portugal,NO,YES
85,RO32,Switzerland,Algeria,12.78,2.00,0.63,0.74,0.27,2.05,0.50,-2.55,7.788703604,1.651898157,0.07771558575,17.35%,82.65%,99.01%,0.99%,38.56%,35.83%,25.61%,49.02%,30.39%,20.59%,-10.46%,5.44%,5.02%,57.63%,42.37%,66.34%,33.66%,-8.71%,8.71%,Draw,Switzerland,WATCH,Algeria,8.71%,PLAY,Switzerland,Switzerland,NO,YES
