match_id,match,city,stage,model_home,model_draw,model_away,market_home,market_draw,market_away,edge_home,edge_draw,edge_away,best_value,best_edge,signal,review_flag,weak_schedule_match,draw_play_filter,model_pick,prob_pick,strength_gap,upset_alert,ou_line,total_exp_goals,model_over,model_under,market_over,market_under,edge_over,edge_under,ou_best_edge,ou_best_value,ou_signal,ou_review_flag
1,Mexico vs South Africa,Mexico City,Group Stage,59.35%,25.53%,15.12%,67.96%,20.39%,11.65%,-8.61%,5.14%,3.47%,Draw,5.14%,WATCH,,FLAG,,Mexico,Home,1.3675,,2.5,2.221611402,38.31%,61.69%,44.55%,55.45%,-6.25%,6.25%,6.25%,Under 2.5,PLAY,
2,South Korea vs Czechia,Guadalajara,Group Stage,52.58%,28.98%,18.44%,36.27%,30.39%,33.33%,16.31%,-1.41%,-14.90%,South Korea,16.31%,REVIEW,CHECK INPUTS,FLAG,,South Korea,Home,1.048,,2.5,2.837721839,53.95%,46.05%,42.57%,57.43%,11.37%,-11.37%,11.37%,Over 2.5,STRONG PLAY,
3,Canada vs Bosnia and Herzegovina,Toronto,Group Stage,54.32%,26.46%,19.22%,53.92%,25.49%,20.59%,0.40%,0.97%,-1.37%,Draw,0.97%,PASS,,,,Canada,Home,1.039,,2.5,2.491413793,45.40%,54.60%,43.56%,56.44%,1.83%,-1.83%,1.83%,Over 2.5,PASS,
4,USA vs Paraguay,Los Angeles,Group Stage,42.77%,29.16%,28.07%,48.54%,28.16%,23.30%,-5.78%,1.00%,4.77%,Paraguay,4.77%,WATCH,,,,Draw,Home,0.421,,2.5,2.273891574,39.70%,60.30%,40.59%,59.41%,-0.89%,0.89%,0.89%,Under 2.5,PASS,
5,Qatar vs Switzerland,San Francisco Bay Area,Group Stage,5.11%,23.46%,71.43%,7.84%,13.73%,78.43%,-2.73%,9.73%,-7.00%,Draw,9.73%,REVIEW,,FLAG,BLOCK DRAW,Switzerland,Away,2.637,,2.5,2.379315632,42.49%,57.51%,58.42%,41.58%,-15.93%,15.93%,15.93%,Under 2.5,REVIEW,CHECK INPUTS
6,Brazil vs Morocco,New York/New Jersey,Group Stage,23.03%,27.93%,49.04%,57.84%,24.51%,17.65%,-34.82%,3.42%,31.40%,Morocco,31.40%,REVIEW,CHECK INPUTS,FLAG,,Morocco,Away,0.756,UPSET ALERT,2.5,2.396443455,42.94%,57.06%,46.53%,53.47%,-3.60%,3.60%,3.60%,Under 2.5,WATCH,
7,Haiti vs Scotland,Boston,Group Stage,23.75%,25.23%,51.02%,14.56%,21.36%,64.08%,9.19%,3.87%,-13.06%,Haiti,9.19%,PLAY,,,,Scotland,Away,0.7645,,2.5,2.627801609,48.85%,51.15%,51.49%,48.51%,-2.63%,2.63%,2.63%,Under 2.5,PASS,
8,Australia vs Turkey,Vancouver,Group Stage,36.74%,28.92%,34.34%,18.45%,25.24%,56.31%,18.29%,3.68%,-21.97%,Australia,18.29%,REVIEW,CHECK INPUTS,FLAG,,Australia,Home,0.0675,,2.5,2.476403862,45.01%,54.99%,47.52%,52.48%,-2.51%,2.51%,2.51%,Under 2.5,PASS,
9,Germany vs Curaçao,Houston,Group Stage,81.17%,18.00%,0.83%,91.35%,4.81%,3.85%,-10.18%,13.19%,-3.01%,Draw,13.19%,REVIEW,,FLAG,BLOCK DRAW,Germany,Home,4.578,,4.5,2.914686207,17.06%,82.94%,44.55%,55.45%,-27.49%,27.49%,27.49%,Under 4.5,REVIEW,CHECK INPUTS
10,Netherlands vs Japan,Dallas,Group Stage,41.96%,28.41%,29.63%,48.04%,25.49%,26.47%,-6.08%,2.92%,3.16%,Japan,3.16%,WATCH,,FLAG,,Netherlands,Home,0.348,,2.5,2.657871724,49.60%,50.40%,49.50%,50.50%,0.10%,-0.10%,0.10%,Over 2.5,PASS,
11,Côte d'Ivoire vs Ecuador,Philadelphia,Group Stage,34.09%,26.25%,39.66%,26.47%,33.33%,40.20%,7.62%,-7.08%,-0.53%,Côte d'Ivoire,7.62%,PLAY,,FLAG,,Ecuador,Away,0.1515,,1.5,2.134021818,62.91%,37.09%,60.40%,39.60%,2.51%,-2.51%,2.51%,Over 1.5,PASS,
12,Sweden vs Tunisia,Monterrey,Group Stage,32.31%,29.79%,37.90%,50.50%,27.72%,21.78%,-18.18%,2.07%,16.12%,Tunisia,16.12%,REVIEW,CHECK INPUTS,FLAG,,Draw,Away,0.1595,UPSET ALERT,2.5,2.638260667,49.11%,50.89%,41.58%,58.42%,7.53%,-7.53%,7.53%,Over 2.5,PLAY,
