match_id,home_team,away_team,stadium,elo_delta,home_xg_for,away_xg_for,home_xg_against,away_xg_against,home_exp_goals,away_exp_goals,total_exp_goals,home_tactical_score,away_tactical_score,match_tactical_modifier,venue_tier,home_climate_mod,away_climate_mod,situational_modifier,home_adj_xg,away_adj_xg,adjusted_total_exp_goals,match_ou_line,under_prob,over_prob,market_over,market_under,edge_over,edge_under,ou_best_edge,ou_best_value,ou_signal,ou_review_flag
1,Mexico,South Africa,Estadio Azteca,14.9,1.4007,1.3728,0.8183551724,0.5754233333,1.070589333,1.151022069,2.221611402,0.088,0.002,0.045,altitude,0.05,0,-0.105,1.223041254,1.153324113,2.126847004,2.5,61.69%,38.31%,44.55%,55.45%,-6.25%,6.25%,6.25%,Under 2.5,PLAY,
2,South Korea,Czechia,Estadio Akron,3.4,1.5834,1.89,0.7242045977,1.16,1.41404,1.423681839,2.837721839,0.132,0.002,0.067,high,0,-0.08,-0.083,1.60069328,1.312406867,2.671312834,2.5,46.05%,53.95%,42.57%,57.43%,11.37%,-11.37%,11.37%,Over 2.5,STRONG PLAY,
3,Canada,Bosnia and Herzegovina,BMO Field,11.8,1.1136,1.72,0.7781344828,1.2,1.14816,1.343253793,2.491413793,0.002,-0.078,-0.038,mild,-0.08,0,-0.038,1.058419814,1.238479997,2.209617619,2.5,54.60%,45.40%,43.56%,56.44%,1.83%,-1.83%,1.83%,Over 2.5,PASS,
4,USA,Paraguay,SoFi Stadium,2.8,1.3137,0.9152,1.172536207,1.168842727,1.255757091,1.018134483,2.273891574,0.132,0.002,0.067,mild,0,0.05,0.067,1.421517027,1.071179289,2.659706969,2.5,60.30%,39.70%,40.59%,59.41%,-0.89%,0.89%,0.89%,Under 2.5,PASS,
5,Qatar,Switzerland,Levi's Stadium,21.8,0.9135,1.46,1.62803908,0.76,0.8521,1.527215632,2.379315632,-0.132,0.01,-0.061,mild,-0.1,-0.08,-0.061,0.66566052,1.419088765,1.957579579,2.5,57.51%,42.49%,58.42%,41.58%,-15.93%,15.93%,15.93%,Under 2.5,REVIEW,CHECK INPUTS
6,Brazil,Morocco,MetLife Stadium,6.9,1.1176,1.7568,1.058183636,0.621325,0.91909,1.477353455,2.396443455,0.07,-0.078,-0.004,moderate,0.05,0,-0.084,1.032597615,1.362119885,2.19356123,2.5,57.06%,42.94%,46.53%,53.47%,-3.60%,3.60%,3.60%,Under 2.5,WATCH,
7,Haiti,Scotland,Gillette Stadium,15.9,1.1571,1.32,1.193854023,1.66,1.35826,1.269541609,2.627801609,-0.12,0.132,0.006,moderate,-0.1,-0.08,-0.074,1.07574192,1.322151413,2.220449227,2.5,51.15%,48.85%,51.49%,48.51%,-2.63%,2.63%,2.63%,Under 2.5,PASS,
8,Australia,Turkey,BC Place,3.6,0.8352,1.51,1.273209655,1.4,1.06112,1.415283862,2.476403862,0.088,0.002,0.045,mild,0.05,0,0.045,1.212223488,1.41811443,2.748703124,2.5,54.99%,45.01%,47.52%,52.48%,-2.51%,2.51%,2.51%,Under 2.5,PASS,
9,Germany,Curaçao,NRG Stadium,40.1,2.01,1.4442,0.72,1.385415517,1.760166207,1.15452,2.914686207,0.162,-0.132,0.015,extreme,-0.08,-0.1,-0.185,1.881688082,0.901911024,2.268633271,4.5,82.94%,17.06%,44.55%,55.45%,-27.49%,27.49%,27.49%,Under 4.5,REVIEW,CHECK INPUTS
10,Netherlands,Japan,AT&T Stadium,5.3,2.07,1.4094,0.75,0.6755793103,1.512231724,1.14564,2.657871724,0.07,0.138,0.104,mild,0,0,0.104,1.618087945,1.30373832,3.225696196,2.5,50.40%,49.60%,49.50%,50.50%,0.10%,-0.10%,0.10%,Over 2.5,PASS,
