team,elo_pre_tournament,elo_post_gs,elo_ko,gd_l5_prewc,gd_per_game_gs,gd_blend,xg_for_prewc,xg_against_prewc,xg_for_gs,xg_against_gs,xg_for_blend,xg_against_blend,form_l5_prewc,form_gs,form_blend,xgot_gs
Algeria,75.4,73.28,74.02,-0.5,-0.67,-0.61,1.23,0.71,1.27,1.10,1.26,0.96,1.54,1.33,1.40,1.54
Argentina,98.5,99.02,98.84,1,2.33,1.87,1.3,0.77,1.91,0.53,1.69,0.61,1.73,3.00,2.55,1.73
Australia,78.2,77.13,77.51,2.5,0.00,0.88,0.96,1.14,0.69,0.89,0.79,0.98,0.59,1.33,1.07,0.59
Austria,78.6,77.97,78.19,1,0.00,0.35,1.76,0.93,1.22,1.49,1.41,1.29,0.85,1.33,1.16,0.85
Belgium,86.5,87.63,87.23,3.5,1.33,2.09,2.57,0.7,2.26,0.65,2.37,0.67,1.86,1.67,1.73,1.86
Bosnia and Herzegovina,62.9,61.37,61.91,0,-0.33,-0.22,1.72,1.2,0.62,1.35,1.01,1.30,0.74,1.33,1.13,0.74
Brazil,92.2,93.97,93.35,-1,2.00,0.95,1.27,0.94,1.23,1.79,1.24,1.49,2.84,2.33,2.51,2.84
Canada,74.7,76.33,75.76,1,1.67,1.43,1.28,0.7,2.50,0.76,2.07,0.74,2.79,1.33,1.84,2.79
Cabo Verde,64,64.14,64.09,-1,0.00,-0.35,1.26,0.71,0.85,1.67,1.00,1.33,0.51,1.00,0.83,0.51
Colombia,90.7,92.33,91.76,3,1.00,1.70,1.55,1.13,1.41,0.74,1.46,0.88,1.16,2.33,1.92,1.16
Côte d'Ivoire,72.6,73.11,72.93,1,0.67,0.78,1.51,0.52,1.35,1.11,1.41,0.91,1.40,2.00,1.79,1.40
Croatia,84.9,84.51,84.65,1.5,0.00,0.53,2.56,0.78,0.92,1.46,1.50,1.22,0.86,2.00,1.60,0.86
DR Congo,70.8,71.04,70.95,0,0.33,0.22,1.25,0.86,1.20,0.61,1.22,0.70,1.14,1.33,1.27,1.14
Ecuador,85.1,84.74,84.87,0.5,0.00,0.18,1.16,0.98,1.71,0.89,1.52,0.92,1.31,1.33,1.33,1.31
Egypt,72.2,74.71,73.83,-0.5,0.67,0.26,1.44,0.53,1.26,1.52,1.32,1.17,1.21,1.67,1.51,1.21
England,93.1,94.86,94.24,2,1.33,1.57,2.38,0.43,2.04,0.51,2.16,0.48,1.90,2.33,2.18,1.90
France,98.6,99.11,98.93,3,2.67,2.78,2.54,0.48,1.99,0.95,2.18,0.79,2.45,3.00,2.81,2.45
Germany,89.6,91.77,91.01,4,2.00,2.70,2.01,0.72,2.23,0.97,2.15,0.88,2.85,2.00,2.30,2.85
Ghana,62.9,61.69,62.11,-0.5,0.00,-0.18,1.4,0.68,0.69,0.84,0.94,0.78,0.67,1.33,1.10,0.67
Japan,84.3,85.69,85.20,2.5,1.33,1.74,1.62,0.6,1.31,0.49,1.42,0.53,1.77,1.67,1.70,1.77
Mexico,81,86.60,84.64,1,2.00,1.65,1.61,0.73,1.24,0.51,1.37,0.59,1.51,3.00,2.48,1.51
Morocco,85.3,89.09,87.76,1.5,1.00,1.18,1.83,0.6,1.13,2.03,1.38,1.53,1.68,2.33,2.11,1.68
Netherlands,89.6,92.55,91.51,2,2.00,2.00,2.07,0.75,1.75,0.74,1.86,0.74,2.86,2.33,2.52,2.86
Norway,80.1,82.25,81.50,3,0.33,1.27,2.21,0.87,2.11,1.33,2.14,1.17,2.00,2.00,2.00,2.00
Paraguay,75.3,72.80,73.68,0.5,-0.67,-0.26,1.04,1.06,0.34,1.35,0.59,1.25,0.31,1.33,0.98,0.31
Portugal,89.4,91.47,90.74,3,1.67,2.13,2.84,0.89,1.32,0.91,1.85,0.90,1.48,1.67,1.60,1.48
Senegal,81.7,78.49,79.61,-1,0.67,0.08,1.52,0.8,1.75,1.34,1.67,1.15,2.15,1.00,1.40,2.15
South Africa,66.1,64.54,65.09,0,-0.33,-0.22,1.43,0.56,0.87,1.13,1.07,0.93,0.58,1.33,1.07,0.58
Spain,100,100.00,100.00,2,1.67,1.78,2.74,0.71,1.82,0.21,2.14,0.39,1.70,2.33,2.11,1.70
Sweden,71.3,70.14,70.55,1.5,0.00,0.53,1.18,1.41,0.99,1.37,1.06,1.38,1.66,1.33,1.45,1.66
Switzerland,83.8,88.43,86.81,1.5,1.33,1.39,1.46,0.76,2.12,0.83,1.89,0.81,1.80,2.33,2.15,1.80
USA,78.1,80.27,79.51,0,1.33,0.87,1.51,1.05,1.52,1.28,1.51,1.20,2.07,2.00,2.02,2.07
