match_id,match_number,home_team,away_team,city,stage,home_team_elo,away_team_elo,elo_diff,home_gd_last5,away_gd_last5,gd_last5_diff,home_xg_diff,away_xg_diff,xg_diff_diff,home_form_pts,away_form_pts,form_diff,raw_score,home_strength,draw_prob,home_win_prob,away_win_prob,pick,market_home,market_draw,market_away,edge_home,edge_draw,edge_away,best_edge,best_value,signal,review_flag
1,1,Mexico,South Africa,Mexico City,Group Stage,81,66.1,14.9,1,0,1,0.88,0.87,0.01,13,9,4,1.3675,0.80,25.53%,59.35%,15.12%,Mexico,0.6796116505,0.2038834951,0.1165048544,-8.61%,5.14%,3.47%,5.14%,Draw,WATCH,
2,2,South Korea,Czechia,Guadalajara,Group Stage,76.4,73,3.4,3,0,3,1.17,0.73,0.44,9,6,3,1.048,0.74,28.98%,52.58%,18.44%,South Korea,0.362745098,0.3039215686,0.3333333333,16.31%,-1.41%,-14.90%,16.31%,South Korea,STRONG PLAY,CHECK INPUTS
3,3,Canada,Bosnia and Herzegovina,Toronto,Group Stage,74.7,62.9,11.8,1,0,1,0.58,0.52,0.06,9,7,2,1.039,0.74,26.46%,54.32%,19.22%,Canada,0.5392156863,0.2549019608,0.2058823529,0.40%,0.97%,-1.37%,0.97%,Draw,PASS,
4,4,USA,Paraguay,Los Angeles,Group Stage,78.1,75.3,2.8,0,0.5,-0.5,0.46,-0.02,0.48,10,8,2,0.421,0.60,29.16%,42.77%,28.07%,USA,0.4854368932,0.2815533981,0.2330097087,-5.78%,1.00%,4.77%,4.77%,Paraguay,WATCH,
5,5,Qatar,Switzerland,San Francisco Bay Area,Group Stage,62,83.8,-21.8,-1.5,1.5,-3,-0.44,0.7,-1.14,5,11,-6,-2.637,0.07,23.46%,5.11%,71.43%,Switzerland,0.07843137255,0.137254902,0.7843137255,-2.73%,9.73%,-7.00%,9.73%,Draw,PLAY,
6,6,Brazil,Morocco,New York/New Jersey,Group Stage,92.2,85.3,6.9,-1,1.5,-2.5,0.33,1.23,-0.9,7,13,-6,-0.756,0.32,27.93%,23.03%,49.04%,Morocco,0.5825242718,0.2427184466,0.1747572816,-35.22%,3.66%,31.57%,31.57%,Morocco,STRONG PLAY,CHECK INPUTS
7,7,Haiti,Scotland,Boston,Group Stage,57.1,73,-15.9,1.5,0.5,1,0.23,-0.34,0.57,10,12,-2,-0.7645,0.32,25.23%,23.75%,51.02%,Scotland,0.145631068,0.213592233,0.640776699,9.19%,3.87%,-13.06%,9.19%,Haiti,PLAY,
8,8,Australia,Turkey,Vancouver,Group Stage,78.2,81.8,-3.6,2.5,1,1.5,-0.18,0.11,-0.29,15,13,2,0.0675,0.52,28.92%,36.74%,34.34%,Australia,0.1881188119,0.2574257426,0.5544554455,17.93%,3.18%,-21.10%,17.93%,Australia,STRONG PLAY,CHECK INPUTS
9,9,Germany,Curaçao,Houston,Group Stage,89.6,49.5,40.1,4,-3,7,1.29,0.37,0.92,15,5,10,4.578,0.99,18.00%,81.17%,0.83%,Germany,0.9134615385,0.04807692308,0.03846153846,-10.18%,13.19%,-3.01%,13.19%,Draw,STRONG PLAY,
10,10,Netherlands,Japan,Dallas,Group Stage,89.6,84.3,5.3,2,2.5,-0.5,1.32,1.02,0.3,13,13,0,0.348,0.59,28.41%,41.96%,29.63%,Netherlands,0.4803921569,0.2549019608,0.2647058824,-6.08%,2.92%,3.16%,3.16%,Japan,PASS,
11,11,Côte d'Ivoire,Ecuador,Philadelphia,Group Stage,72.6,85.1,-12.5,1,0.5,0.5,0.99,0.18,0.81,10,7,3,-0.1515,0.46,26.25%,34.09%,39.66%,Ecuador,0.2647058824,0.3333333333,0.4019607843,7.62%,-7.08%,-0.53%,7.62%,Côte d'Ivoire,WATCH,
12,12,Sweden,Tunisia,Monterrey,Group Stage,71.3,70.6,0.7,1.5,0,1.5,-0.23,0.76,-0.99,7,8,-1,-0.1595,0.46,29.79%,32.31%,37.90%,Tunisia,0.504950495,0.2772277228,0.2178217822,-18.18%,2.07%,16.12%,16.12%,Tunisia,STRONG PLAY,CHECK INPUTS
13,13,Spain,Cabo Verde,Atlanta,Group Stage,100,64,36,2,-1,3,2.03,0.55,1.48,13,6,7,3.688,0.98,19.20%,78.83%,1.97%,Spain,0.8921568627,0.06862745098,0.03921568627,-10.39%,12.34%,-1.95%,12.34%,Draw,STRONG PLAY,
14,14,Belgium,Egypt,Seattle,Group Stage,86.5,72.2,14.3,3.5,-0.5,4,1.87,0.91,0.96,11,8,3,2.034,0.88,25.71%,65.70%,8.59%,Belgium,0.5784313725,0.2450980392,0.1764705882,7.85%,1.20%,-9.05%,7.85%,Belgium,WATCH,
15,15,Saudi Arabia,Uruguay,Miami,Group Stage,64,84.8,-20.8,0,1.5,-1.5,0.46,-0.22,0.68,9,8,1,-1.155,0.24,23.76%,18.27%,57.97%,Uruguay,0.1359223301,0.213592233,0.6504854369,4.67%,2.40%,-7.07%,4.67%,Saudi Arabia,WATCH,
16,16,IR Iran,New Zealand,Los Angeles,Group Stage,79,63.6,15.4,0,0.5,-0.5,0.78,0,0.78,6,3,3,1.362,0.80,25.38%,59.40%,15.22%,IR Iran,0.5050505051,0.2828282828,0.2121212121,8.90%,-2.90%,-6.00%,8.90%,IR Iran,PLAY,
