match_id,date,home_team,away_team,city,stage,model_home_prob,model_draw_prob,model_away_prob,market_home_prob,market_draw_prob,market_away_prob,model_pick,best_value,best_edge,signal,weak_schedule_match,stake,side_bet,entry_price,actual_outcome,model_pick_hit,best_value_hit,pnl,clv
1,2026-06-11 15:00:00-06,Mexico,South Africa,Mexico City,Group Stage,59.35%,25.53%,15.12%,67.96%,20.39%,11.65%,Mexico,Draw,5.14%,WATCH,FLAG,,,,,,,,
2,2026-06-11 22:00:00-06,South Korea,Czechia,Guadalajara,Group Stage,52.58%,28.98%,18.44%,36.27%,30.39%,33.33%,South Korea,South Korea,16.31%,REVIEW,FLAG,,,,,,,,
3,2026-06-12 15:00:00-04,Canada,Bosnia and Herzegovina,Toronto,Group Stage,54.32%,26.46%,19.22%,53.92%,25.49%,20.59%,Canada,Draw,0.97%,PASS,,,,,,,,,
4,2026-06-12 21:00:00-07,USA,Paraguay,Los Angeles,Group Stage,42.77%,29.16%,28.07%,48.54%,28.16%,23.30%,USA,Paraguay,4.77%,WATCH,,,,,,,,,
5,2026-06-13 15:00:00-07,Qatar,Switzerland,San Francisco Bay Area,Group Stage,5.11%,23.46%,71.43%,7.84%,13.73%,78.43%,Switzerland,Draw,9.73%,REVIEW,FLAG,,,,,,,,
6,2026-06-13 18:00:00-04,Brazil,Morocco,New York/New Jersey,Group Stage,23.03%,27.93%,49.04%,57.84%,24.51%,17.65%,Morocco,Morocco,31.57%,REVIEW,FLAG,,,,,,,,
7,2026-06-13 21:00:00-04,Haiti,Scotland,Boston,Group Stage,23.75%,25.23%,51.02%,14.56%,21.36%,64.08%,Scotland,Haiti,9.19%,PLAY,,,,,,,,,
8,2026-06-14 00:00:00-07,Australia,Turkey,Vancouver,Group Stage,36.74%,28.92%,34.34%,18.45%,25.24%,56.31%,Australia,Australia,17.93%,REVIEW,FLAG,,,,,,,,
9,2026-06-14 13:00:00-05,Germany,Curaçao,Houston,Group Stage,81.17%,18.00%,0.83%,91.35%,4.81%,3.85%,Germany,Draw,13.19%,REVIEW,FLAG,,,,,,,,
10,2026-06-14 16:00:00-05,Netherlands,Japan,Dallas,Group Stage,41.96%,28.41%,29.63%,48.04%,25.49%,26.47%,Netherlands,Japan,3.16%,WATCH,FLAG,,,,,,,,
11,2026-06-14 19:00:00-04,Côte d'Ivoire,Ecuador,Philadelphia,Group Stage,34.09%,26.25%,39.66%,26.47%,33.33%,40.20%,Ecuador,Côte d'Ivoire,7.62%,PLAY,FLAG,,,,,,,,
12,2026-06-14 22:00:00-06,Sweden,Tunisia,Monterrey,Group Stage,32.31%,29.79%,37.90%,50.50%,27.72%,21.78%,Tunisia,Tunisia,16.12%,REVIEW,FLAG,,,,,,,,
13,2026-06-15 12:00:00-04,Spain,Cabo Verde,Atlanta,Group Stage,78.83%,19.20%,1.97%,89.22%,6.86%,3.92%,Spain,Draw,12.34%,REVIEW,FLAG,,,,,,,,
14,2026-06-15 15:00:00-07,Belgium,Egypt,Seattle,Group Stage,65.70%,25.71%,8.59%,57.84%,24.51%,17.65%,Belgium,Belgium,7.85%,PLAY,FLAG,,,,,,,,
15,2026-06-15 18:00:00-04,Saudi Arabia,Uruguay,Miami,Group Stage,18.27%,23.76%,57.97%,13.59%,21.36%,65.05%,Uruguay,Saudi Arabia,4.67%,WATCH,FLAG,,,,,,,,
16,2026-06-15 21:00:00-07,IR Iran,New Zealand,Los Angeles,Group Stage,59.40%,25.38%,15.22%,50.51%,28.28%,21.21%,IR Iran,IR Iran,8.90%,PLAY,,,,,,,,,
17,2026-06-16 15:00:00-04,France,Senegal,New York/New Jersey,Group Stage,67.33%,24.93%,7.74%,67.33%,20.79%,11.88%,France,Draw,4.14%,WATCH,FLAG,,,,,,,,
18,2026-06-16 18:00:00-04,Iraq,Norway,Boston,Group Stage,6.98%,26.04%,66.98%,6.86%,13.73%,79.41%,Norway,Draw,12.31%,REVIEW,FLAG,,,,,,,,
19,2026-06-16 21:00:00-05,Argentina,Algeria,Kansas City,Group Stage,62.37%,23.07%,14.56%,70.30%,20.79%,8.91%,Argentina,Algeria,5.65%,WATCH,FLAG,,,,,,,,
20,2026-06-17 00:00:00-07,Austria,Jordan,San Francisco Bay Area,Group Stage,50.70%,27.27%,22.03%,72.55%,16.67%,10.78%,Austria,Jordan,11.25%,STRONG PLAY,FLAG,,,,,,,,
21,2026-06-17 13:00:00-05,Portugal,DR Congo,Houston,Group Stage,67.42%,24.42%,8.16%,78.00%,16.00%,6.00%,Portugal,Draw,8.42%,PLAY,FLAG,,,,,,,,
22,2026-06-17 16:00:00-05,England,Croatia,Dallas,Group Stage,49.79%,27.54%,22.67%,55.45%,24.75%,19.80%,England,Croatia,2.87%,PASS,,,,,,,,,
23,2026-06-17 19:00:00-04,Ghana,Panama,Toronto,Group Stage,19.96%,27.45%,52.59%,46.08%,27.45%,26.47%,Panama,Panama,26.12%,REVIEW,FLAG,,,,,,,,
